Entity Name,Property Name,Mandatory,Property Type
Package,ordId,true,string
Package,localId,false,string
Package,correlationIds,false,array<string>
Package,title,true,string
Package,shortDescription,true,string
Package,description,true,string
Package,version,true,string
Package,policyLevel,false,string
Package,customPolicyLevel,false,string
Package,policyLevels,false,array<string>
Package,packageLinks,false,array<PackageLink>
Package,links,false,array<Link>
Package,files,false,array<File>
Package,licenseType,false,string
Package,supportInfo,false,string
Package,vendor,true,string
Package,partOfProducts,false,array<string>
Package,countries,false,array<string>
Package,lineOfBusiness,false,array<string>
Package,industry,false,array<string>
Package,runtimeRestriction,false,string
Package,tags,false,array<string>
Package,labels,false,Labels
Package,documentationLabels,false,DocumentationLabels
Consumption Bundle,ordId,true,string
Consumption Bundle,localId,false,string
Consumption Bundle,correlationIds,false,array<string>
Consumption Bundle,title,true,string
Consumption Bundle,shortDescription,false,string
Consumption Bundle,description,false,string
Consumption Bundle,version,false,string
Consumption Bundle,lastUpdate,false,string
Consumption Bundle,visibility,false,string
Consumption Bundle,credentialExchangeStrategies,false,array<CredentialExchangeStrategy>
Consumption Bundle,links,false,array<Link>
Consumption Bundle,tags,false,array<string>
Consumption Bundle,labels,false,Labels
Consumption Bundle,documentationLabels,false,DocumentationLabels
Consumption Bundle Reference,ordId,true,string
Consumption Bundle Reference,defaultEntryPoint,false,string
Api Resource,ordId,true,string
Api Resource,localId,false,string
Api Resource,correlationIds,false,array<string>
Api Resource,title,true,string
Api Resource,shortDescription,true,string
Api Resource,description,true,string
Api Resource,aiHint,false,string
Api Resource,partOfPackage,true,string
Api Resource,partOfGroups,false,array<string>
Api Resource,partOfConsumptionBundles,false,array<ConsumptionBundleReference>
Api Resource,defaultConsumptionBundle,false,string
Api Resource,partOfProducts,false,array<string>
Api Resource,version,true,string
Api Resource,lastUpdate,false,string
Api Resource,abstract,false,boolean
Api Resource,visibility,true,string
Api Resource,releaseStatus,true,string
Api Resource,disabled,false,boolean
Api Resource,minSystemVersion,false,string
Api Resource,relatedApiResources,false,array<RelatedApiResource>
Api Resource,relatedEventResources,false,array<RelatedEventResource>
Api Resource,deprecationDate,false,string
